mode,metric,value
true_tau,v_relerr,0.00996002705816389
true_tau,v_relerr,0.00996002705816389
true_tau,v_relerr,0.00996002705816389
heuristic,v_relerr,0.0059321699866110855
heuristic,v_relerr,0.008539648069549674
heuristic,v_relerr,0.011816781302697012
heuristic,v_relerr,0.0011891804779911037
heuristic,v_relerr,0.010754217227148845
heuristic,v_relerr,0.009322187236853663
heuristic,v_relerr,0.01021630466047954
heuristic,v_relerr,0.006639335728337498
heuristic,v_relerr,0.008596485328867946
heuristic,v_relerr,0.007569843596906866
heuristic,v_relerr,0.010306318989737722
heuristic,v_relerr,0.008561302491728841
heuristic,v_relerr,0.008584139368378482
heuristic,v_relerr,0.00929997874452244
heuristic,v_relerr,0.007455813707474781
heuristic,v_relerr,0.006647627897957151
heuristic,v_relerr,0.007907035355608317
heuristic,v_relerr,0.8158806614716565
heuristic,v_relerr,0.010344556498907463
heuristic,v_relerr,0.009839261556305373
heuristic,v_relerr,0.01019242721608771
heuristic,v_relerr,0.008580920222717156
heuristic,v_relerr,0.008385655029095752
heuristic,v_relerr,0.008128474591800399
heuristic,v_relerr,0.0058332395990230304
random,v_relerr,0.008776586380308246
random,v_relerr,0.7227792374353094
random,v_relerr,0.010046434769684125
random,v_relerr,0.030071674064769613
random,v_relerr,0.009224618602901146
random,v_relerr,0.7163498689516682
random,v_relerr,0.8158806614716565
random,v_relerr,0.010036844623665627
random,v_relerr,0.8158806614716565
random,v_relerr,0.7551247975076111
random,v_relerr,0.7551247975076111
random,v_relerr,0.008061528097025365
random,v_relerr,0.7551247975076111
random,v_relerr,0.010196803930914091
random,v_relerr,0.7140648027350517
random,v_relerr,0.010338870051913201
random,v_relerr,0.008061528097025365
random,v_relerr,0.7551247975076111
random,v_relerr,0.007946176566174197
random,v_relerr,0.008061528097025365
random,v_relerr,0.008061528097025365
random,v_relerr,0.009410392221047212
random,v_relerr,0.7551247975076111
random,v_relerr,0.8158806614716565
random,v_relerr,0.009224618602901146
